category,skill,count
hard_skills,арбитражные суды,1
hard_skills,суды общей юрисдикции,1
hard_skills,трудовое право,1
hard_skills,электронный журнал,1
hard_skills,rust,1
hard_skills,deep learning,1
hard_skills,nest.js,1
hard_skills,svelte,1
hard_skills,6-ндфл,1
hard_skills,путевые листы,1
hard_skills,matplotlib,1
hard_skills,scala,1
hard_skills,пожарная безопасность,1
hard_skills,касса,1
hard_skills,snowflake,1
hard_skills,пайка,1
hard_skills,дистанционное обучение,1
hard_skills,контроль расходов,1
hard_skills,cpp,1
hard_skills,сп,1
hard_skills,keras,1
hard_skills,преподавание,1
hard_skills,вентиляция,1
hard_skills,due diligence,1
hard_skills,репетиторство,1
hard_skills,экзамены,1
hard_skills,управление закупками,1
hard_skills,исходящая документация,1
hard_skills,отгрузка товара,1
hard_skills,чтение чертежей,1
hard_skills,глубокое обучение,1
hard_skills,досудебное урегулирование,1
hard_skills,составление договоров,1
hard_skills,таможенное оформление,1
hard_skills,тн,1
hard_skills,сервировка,1
hard_skills,погрузка,1
hard_skills,фгис,1
hard_skills,реорганизация,1
hard_skills,мерчандайзинг,1
hard_skills,госзакупки,1
hard_skills,планирование маршрутов,1
hard_skills,разгрузка,1
hard_skills,расчёт стоимости,1
hard_skills,правовая экспертиза,1
hard_skills,представительские расходы,1
soft_skills,контроль,387
soft_skills,развитие,351
soft_skills,взаимодействие,342
soft_skills,ответственность,287
soft_skills,внимательность,181
soft_skills,организация,177
soft_skills,планирование,123
soft_skills,переговоры,98
soft_skills,внимательность к деталям,85
soft_skills,сервис,84
soft_skills,коммуникабельность,83
soft_skills,самостоятельность,71
soft_skills,руководство,68
soft_skills,стрессоустойчивость,62
soft_skills,инициативность,61
soft_skills,аналитическое мышление,58
soft_skills,телефонные переговоры,55
soft_skills,деловая переписка,54
soft_skills,деловое общение,51
soft_skills,грамотная речь,49
soft_skills,управление командой,46
soft_skills,наставничество,46
soft_skills,аккуратность,45
soft_skills,системное мышление,41
soft_skills,проактивность,41
soft_skills,обучаемость,38
soft_skills,исполнительность,38
soft_skills,мотивация,37
soft_skills,презентации,33
soft_skills,гибкость,29
soft_skills,пунктуальность,28
soft_skills,профессиональный рост,24
soft_skills,клиентоориентированность,24
soft_skills,активность,19
soft_skills,приоритизация,19
soft_skills,стратегическое мышление,17
soft_skills,обратная связь,16
soft_skills,многозадачность,15
soft_skills,честность,15
soft_skills,лидерство,14
soft_skills,быстрая обучаемость,13
soft_skills,дисциплинированность,11
soft_skills,работа с клиентами,9
soft_skills,креативность,9
soft_skills,развитие сотрудников,9
soft_skills,работоспособность,8
soft_skills,адаптивность,8
soft_skills,принятие решений,8
soft_skills,энергичность,7
soft_skills,критическое мышление,7
soft_skills,надёжность,6
soft_skills,решение проблем,6
soft_skills,видение,5
soft_skills,порядочность,5
soft_skills,управление временем,4
soft_skills,эмоциональная устойчивость,3
soft_skills,кросс-функциональное взаимодействие,3
soft_skills,командная работа,3
soft_skills,оценка персонала,3
soft_skills,тайм-менеджмент,2
soft_skills,публичные выступления,2
soft_skills,логическое мышление,2
soft_skills,саморазвитие,1
soft_skills,делегирование,1
soft_skills,работа в коллективе,1
tools,1с,371
tools,bitrix24,284
tools,excel,206
tools,figma,92
tools,word,87
tools,ms office,86
tools,microsoft office,27
tools,google sheets,26
tools,powerpoint,24
tools,outlook,23
tools,photoshop,21
tools,google docs,18
tools,illustrator,15
tools,trello,14
tools,autocad,12
tools,notion,12
tools,1с:предприятие,10
tools,asana,7
tools,access,5
tools,1с:бухгалтерия,5
tools,hubspot,5
tools,after effects,4
tools,indesign,4
tools,sketch,4
tools,эвотор,3
tools,solidworks,3
tools,revit,3
tools,salesforce,3
tools,google slides,2
tools,nanocad,2
tools,monday,2
tools,1с:управление торговлей,2
tools,узи,1
tools,экг,1
tools,premiere pro,1
tools,davinci resolve,1
tools,рентген,1
tools,1с:зарплата,1
tools,coreldraw,1
tools,clickup,1
tools,осциллограф,1
tools,1с:розница,1
tools,тестер,1
tools,атол,1
tools,1с:комплексная автоматизация,1
tools,archicad,1
tools,циркулярная пила,1
tools,amo crm,1
tools,zoho,1
